Province,Year,Region,Regional GDP,Secondary industry value added,Tertiary industry value added from Long,GDP per capita from Long,Industrial value added from Long,Total electricity generation,Population,Hydropower generation from Long,Raw coal production from Long,Non fossil electricity generation,SO2 emissions,Natural gas production from Long,Total apparent CO2 emissions (mt),Total energy consumption
山西省,1991,中部地区,468.51,236.28,163.46,1592.0,210.81,341.4,2942.0,5.81,29200.0,5.81,65.0,0.59,,4802.3
江西省,1991,中部地区,479.37,154.77,141.33,1249.0,135.82,129.96,3864.6374,31.93,2123.0,31.93,33.0,,,1793.4
河南省,1991,中部地区,1049.28,388.09,326.58,1205.0,336.26,356.49,8763.0,15.3,8973.0,15.3,52.0,13.02,,5363.0
湖北省,1991,中部地区,913.38,358.64,275.44,1668.0,327.5,349.49,5512.33,226.22,810.43,226.22,48.0,0.64,,4162.53
湖南省,1991,中部地区,833.3,281.95,250.33,1357.0,242.96,221.25,6209.0,107.63,3314.03,107.63,52.0,,,3821.0
云南省,1991,西部地区,517.41,179.56,168.37,1377.0,162.32,140.85,3782.1,93.8,2200.0,93.8,23.0,,,1961.92
内蒙古,1991,西部地区,359.66,124.03,118.44,1642.0,102.74,189.04,2183.9,1.24,4923.0,1.24,58.0,,,2505.19
四川省,1991,西部地区,1016.31,376.48,300.83,1283.0,331.37,379.58,10897.0,155.06,6904.0,155.06,189.0,67.3,,4721.5
宁夏,1991,西部地区,71.78,27.77,26.11,1528.0,23.12,63.11,480.0,8.38,1403.2,8.38,12.0,0.04,,707.0
广西,1991,西部地区,518.59,141.02,182.4,1211.0,123.66,135.55,4324.0,63.72,1000.0,63.72,56.0,,,1386.88
新疆,1991,西部地区,335.91,108.0,116.07,2101.0,84.07,78.34,1555.0,14.73,2112.0,14.73,22.0,5.54,,2071.4
甘肃省,1991,西部地区,271.39,111.91,92.93,1196.0,97.19,188.05,2284.92,93.69,1543.21,93.69,34.0,0.68,,2311.03
西藏,1991,西部地区,30.53,4.2,10.9,1358.0,2.27,3.45,226.0,2.5,0.92,2.5,,,,
贵州省,1991,西部地区,296.67,101.54,79.42,901.0,88.96,116.03,3315.0,44.31,3723.26,44.31,64.35,0.34,,2313.1
重庆市,1991,西部地区,375.62,154.28,111.85,1343.0,135.35,84.05,2938.99,,2380.45,,,35.86,,1337.69
陕西省,1991,西部地区,470.02,197.54,155.6,1407.0,168.28,164.31,3363.0,16.52,3300.0,16.52,62.0,0.27,,2358.7
青海省,1991,西部地区,75.1,29.84,27.3,1665.0,23.49,59.81,454.0,44.0,287.0,44.0,2.0,0.75,,474.29
吉林省,1992,东北地区,558.06,257.01,170.23,2246.0,227.17,204.05,2474.0,38.69,2504.0,38.69,23.0,1.68,,3614.6
辽宁省,1992,东北地区,1473.0,739.7,541.3,3693.0,661.2,489.1,4016.0,32.4,5394.6,32.4,107.0,21.1,,7191.6
黑龙江,1992,东北地区,860.1,465.5,231.1,2395.0,440.0,349.03,3608.0,6.25,8400.0,6.25,21.0,22.87,,5531.2
上海市,1992,东部地区,1118.36,672.3,412.75,8200.0,636.68,348.05,1345.0,,118.8,,51.0,,,3656.92
北京市,1992,东部地区,710.2,343.4,318.1,6468.0,291.3,142.36,1102.0,2.49,1015.2,2.49,37.0,,,2987.5
天津市,1992,东部地区,412.55,233.41,148.88,4511.0,212.8,98.62,920.0,0.19,491.76,0.19,23.0,4.12,,2140.73
山东省,1992,东部地区,2196.53,999.11,662.8,2557.0,889.59,566.24,8610.0,0.23,6400.0,0.23,226.0,14.43,,
广东省,1992,东部地区,2460.21,1098.75,895.63,3718.0,899.28,459.0,6525.0,92.84,954.21,92.84,51.0,,,5210.77
