Province,Year,Region,Regional GDP,Secondary industry value added,Tertiary industry value added from Long,GDP per capita from Long,Industrial value added from Long,Total electricity generation,Population,Hydropower generation from Long,Raw coal production from Long,Non fossil electricity generation,SO2 emissions,Natural gas production from Long,Total apparent CO2 emissions (mt),Total energy consumption
广东省,1996,东部地区,6903.13,3313.55,2654.35,9230.0,2853.85,908.7,6961.0,127.56,962.43,127.56,,22.27,,7746.0
江苏省,1996,东部地区,6004.21,3074.12,1940.91,8471.0,2754.8,756.87,7110.16,0.49,2606.52,0.49,104.07,0.15,,8111.2
河北省,1996,东部地区,3198.0,1439.5,1057.4,4950.0,1258.8,651.41,6483.67,13.5,8169.0,13.5,,3.65,,8938.47
浙江省,1996,东部地区,4215.9,2233.98,1386.99,9579.0,1989.68,448.4,4400.09,52.31,122.7,52.31,,,,5165.43
海南省,1996,东部地区,389.68,81.52,167.01,5346.0,49.2,32.81,734.0,12.15,1.73,12.15,,,,352.08
福建省,1996,东部地区,2501.31,1022.88,958.59,7711.0,875.5,284.1,3261.0,141.83,1167.97,141.83,,,,2452.18
安徽省,1996,中部地区,2199.7,741.0,790.3,3703.0,608.5,325.82,6070.0,11.64,5086.0,11.64,,,,4531.32
山西省,1996,中部地区,1292.11,600.21,493.62,4178.0,532.73,526.9,3109.0,7.37,34946.0,7.37,,0.49,,6848.0
江西省,1996,中部地区,1409.74,481.3,488.44,3452.0,375.83,183.3,4105.4635,46.98,2438.0,46.98,,,,2154.7
河南省,1996,中部地区,3655.38,1668.88,1078.45,4001.0,1496.7,593.99,9172.0,16.8,10781.0,16.8,,11.38,,6654.0
湖北省,1996,中部地区,2499.77,920.68,862.75,4311.0,805.53,476.04,5825.13,270.7,1521.01,270.7,,0.71,,5731.4
湖南省,1996,中部地区,2540.13,920.06,826.09,3963.0,790.19,341.65,6428.0,168.43,5989.05,168.43,,,,5473.0
云南省,1996,西部地区,1517.69,669.06,488.15,3779.0,599.82,253.7,4041.5,182.45,3100.0,182.45,,0.0,,2819.43
内蒙古,1996,西部地区,1023.09,364.77,345.5,4457.0,304.81,324.01,2306.6,1.25,7317.0,1.25,,,,3144.36
四川省,1996,西部地区,2871.65,1156.01,945.62,3550.0,989.5,475.53,11430.0,268.8,9567.3,268.8,,80.37,,6609.5
宁夏,1996,西部地区,202.91,80.54,79.09,3926.0,68.97,111.63,521.2099,8.33,1616.0,8.33,,0.62,,808.8
广西,1996,西部地区,1697.9,587.37,575.65,3706.0,503.32,226.14,4589.0,138.79,1252.3,138.79,,,,2301.11
新疆,1996,西部地区,900.9,306.5,357.0,5102.0,239.1,136.03,1689.0,24.49,3000.0,24.49,,14.06,,3045.2
甘肃省,1996,西部地区,722.52,311.98,222.42,2946.0,276.37,235.7,2466.86,81.58,2221.0,81.58,,0.3,,2803.2
西藏,1996,西部地区,65.0,11.3,27.2,2688.0,4.4,4.26,244.0,2.92,1.1,2.92,,,,
贵州省,1996,西部地区,726.0,255.09,216.48,2056.0,225.36,4.61,3555.0,71.2,1289.73,71.2,58.56,1.21,,3442.64
重庆市,1996,西部地区,1332.65,575.2,469.89,4635.0,506.83,128.73,3022.7,35.13,1498.72,35.13,,26.1,,1605.93
陕西省,1996,西部地区,1223.02,514.27,458.17,3467.0,439.66,269.79,3543.0,35.78,4614.0,35.78,,0.15,,3001.2
青海省,1996,西部地区,184.17,57.6,86.16,3799.0,40.87,61.8,488.0,33.54,300.0,33.54,,1.27,,698.25
吉林省,1997,东北地区,1464.34,566.97,529.21,5591.0,495.1,280.03,2600.1,40.67,2700.0,40.67,,2.95,108.6700354866667,4177.2
辽宁省,1997,东北地区,3582.5,1738.3,1378.5,8725.0,1567.2,615.2,4138.0,28.8,5883.8,28.8,,19.1,243.6532227733333,9191.6
黑龙江,1997,东北地区,2408.4,1357.2,600.6,6440.0,1304.9,432.9,3751.0,10.85,7547.0,10.85,24.0,23.5,184.2857121733334,6635.5
上海市,1997,东部地区,3495.81,1776.81,1648.77,23800.0,1614.13,458.48,1457.0,,,,,,86.53970512,4717.51
北京市,1997,东部地区,1807.5,750.8,971.7,16658.0,594.0,146.43,1240.0,9.19,1012.0,9.19,,,60.63238603333334,3719.2
天津市,1997,东部地区,1272.99,676.01,527.46,13393.0,609.65,166.53,953.0,0.23,645.9,0.23,,7.58,56.80056176666667,2459.0
山东省,1997,东部地区,6537.07,3147.37,2194.7,7461.0,2796.02,854.0,8785.0,0.46,9100.0,0.46,247.0,10.02,264.7491838733334,9154.0
广东省,1997,东部地区,7864.64,3713.92,3172.4,10247.0,3250.72,981.2,7051.0,153.84,840.0,153.84,69.3,36.8,155.34636212,7953.23
江苏省,1997,东部地区,6680.34,3411.86,2232.68,9371.0,3016.44,777.0,7147.86,0.46,2506.01,0.46,,0.12,202.73182008,7991.1
河北省,1997,东部地区,3652.1,1667.2,1223.0,5615.0,1458.7,694.12,6524.58,10.62,7900.0,10.62,,3.65,248.6631820533333,9033.01
浙江省,1997,东部地区,4720.3,2557.87,1543.53,10670.0,2293.1,485.8,4422.28,61.49,114.99,61.49,,,116.7435276866667,5446.74
海南省,1997,东部地区,411.16,83.13,179.51,5567.0,52.05,34.6,743.0,14.85,1.5,14.85,,,3.00234236,390.26
福建省,1997,东部地区,2891.97,1210.34,1125.18,8840.0,1039.62,310.18,3282.0,194.13,781.8,194.13,,,41.79738218666667,2499.11
安徽省,1997,中部地区,2670.6,1270.6,678.0,4359.0,1159.8,329.33,6127.0,9.69,4938.9,9.69,,,115.597706,4414.93
山西省,1997,中部地区,1476.0,707.58,576.58,4724.0,626.36,546.02,3141.0,5.76,33843.41,5.76,,0.92,230.9695370666668,6694.9
江西省,1997,中部地区,1605.77,548.84,581.75,4155.0,438.98,179.82,4150.3338,60.52,2100.0,60.52,,,56.88192414,2132.4
河南省,1997,中部地区,4067.04,1851.7,1238.61,4417.0,1645.7,630.83,9243.0,12.33,10520.0,12.33,,11.9,176.4514103666666,6711.0
湖北省,1997,中部地区,2856.47,1068.4,1020.15,4884.0,929.91,490.5,5872.6,245.83,1517.22,245.83,,0.66,121.7695285,5959.53
湖南省,1997,中部地区,2849.27,1041.79,951.73,4420.0,903.9,351.0,6465.0,194.08,4409.84,194.08,,,74.70242026,4808.0
云南省,1997,西部地区,1676.17,743.82,545.33,3996.0,657.05,253.14,4094.0,167.63,3300.0,167.63,,0.03,64.05983326,3428.98
内蒙古,1997,西部地区,1153.51,422.39,408.6,4980.0,355.1,342.23,2325.7,1.09,8303.0,1.09,,0.1,107.1064198266667,3708.95
四川省,1997,西部地区,3241.47,1265.32,1095.87,4032.0,1068.55,492.0,8430.0,246.84,6222.68,246.84,,80.03,119.8502964933333,6654.0
宁夏,1997,西部地区,224.59,88.67,91.05,4277.0,74.99,113.42,528.9401,7.04,1700.0,7.04,,0.26,24.67168082,814.0
广西,1997,西部地区,1817.25,614.07,620.44,3928.0,524.49,237.3,4633.0,156.58,1252.26,156.58,,0.01,44.73892553333333,2327.74
新疆,1997,西部地区,1050.0,413.0,357.0,5856.0,303.0,150.6,1718.0,26.97,3021.4,26.97,,21.3,84.94505579333334,3230.0
甘肃省,1997,西部地区,793.57,337.79,265.58,3199.0,286.7,246.42,2494.2,82.48,2300.0,82.48,,0.3,64.76515327333331,2581.13
西藏,1997,西部地区,77.2,16.9,31.9,3144.0,8.2,5.8,248.0,4.51,1.1,4.51,,,,
贵州省,1997,西部地区,809.57,288.99,248.75,2261.0,251.1,255.75,3606.0,110.84,6600.0,110.84,176.48,0.95,100.2426844,3754.56
重庆市,1997,西部地区,1533.76,658.77,567.78,5337.0,574.18,139.88,3042.0,31.39,1410.35,31.39,,30.69,57.09174845333334,1742.43
陕西省,1997,西部地区,1373.76,567.25,551.09,3863.0,477.35,269.8,3570.0,22.47,4958.1,22.47,,2.17,78.36508961999999,3111.0
青海省,1997,西部地区,202.79,61.72,99.27,4122.0,41.99,84.3,496.0,50.2,329.0,50.2,,2.2,12.19900593333333,706.78
吉林省,1998,东北地区,1577.05,585.65,561.9,5983.0,504.12,281.27,2603.2,39.07,2130.42,39.07,,2.12,94.36422539999998,3626.8
辽宁省,1998,东北地区,3881.7,1849.2,1511.6,9415.0,1664.1,608.1,4157.0,21.6,5785.7,21.6,,15.6,237.1332227866666,8873.7
黑龙江,1998,东北地区,2484.0,1396.1,668.0,6603.0,1332.0,425.24,3773.0,13.28,7100.0,13.28,22.2,23.3,170.9039210066666,6702.1
上海市,1998,东部地区,3874.44,1876.13,1926.32,25700.0,1687.39,482.16,1464.0,,,,,,86.83012073333333,4837.01
北京市,1998,东部地区,2439.1,834.1,1527.1,19625.0,661.5,156.7,1246.0,9.53,1000.0,9.53,,,60.3822398,3808.1
天津市,1998,东部地区,1355.65,689.21,592.3,14195.0,613.31,172.51,957.0,0.16,691.28,0.16,,7.6,55.76399626666667,2502.24
山东省,1998,东部地区,7021.35,3408.06,2397.49,7968.0,3008.45,823.79,8838.0,0.92,9000.0,0.92,226.0,9.18,261.2991944266666,9012.0
广东省,1998,东部地区,8650.93,4080.96,3575.42,10972.0,3584.54,1004.37,7143.0,152.87,300.0,152.87,67.88,34.59,146.81938846,8376.0
江苏省,1998,东部地区,7199.95,3640.1,2512.69,10049.0,3157.69,754.27,7182.46,0.74,2378.53,0.74,,0.17,202.6093455333333,8118.0
河北省,1998,东部地区,3924.5,1791.0,1342.8,5994.0,1556.8,688.9,6569.3,8.05,5637.0,8.05,,3.73,247.0983378666667,9151.12
浙江省,1998,东部地区,5098.84,2772.28,1717.26,11470.0,2495.25,492.11,4446.86,99.63,100.0,99.63,,,108.9211987466667,5656.96
海南省,1998,东部地区,442.12,91.41,194.66,5912.0,59.09,35.52,753.0,10.06,1.5,10.06,,,9.605380553333331,409.26
福建省,1998,东部地区,3186.52,1330.18,1269.35,9684.0,1132.79,322.7,3299.0,184.96,727.2,184.96,,,43.12773358666666,2578.62
安徽省,1998,中部地区,2711.7,925.8,1041.8,4516.0,731.6,316.18,6184.0,9.9,4583.5,9.9,,,112.6382074333333,4575.0
山西省,1998,中部地区,1611.08,761.25,642.58,5104.0,658.55,554.03,3172.0,6.52,31500.0,6.52,,1.04,232.3492228999999,6626.0
江西省,1998,中部地区,1719.87,608.22,661.21,4124.0,477.15,181.1,4191.2074,60.4,2108.0,60.4,,,51.47948361333334,2028.4
河南省,1998,中部地区,4339.97,1927.95,1374.44,4677.0,1692.4,631.05,9315.0,16.82,9406.0,16.82,,13.2,133.2587033666667,7244.0
湖北省,1998,中部地区,3114.02,1195.2,1140.6,5287.0,1041.2,506.14,5907.23,227.92,1326.3,227.92,,0.82,110.5196153533333,5916.8
湖南省,1998,中部地区,3025.53,1123.08,1074.14,4667.0,960.7,350.0,6502.0,195.85,4400.0,195.85,,,101.28331674,4894.0
云南省,1998,西部地区,1831.33,818.26,609.64,4446.0,705.55,264.62,4143.8,169.98,3102.9,169.98,,0.89,61.08864482666667,3364.49
内蒙古,1998,西部地区,1262.54,458.86,462.06,5406.0,382.44,350.41,2344.9,1.73,7769.0,1.73,,,100.5322623333333,3440.06
四川省,1998,西部地区,3474.09,1324.01,1237.84,4294.0,1090.65,475.87,8493.0,252.88,5700.0,252.88,,85.66,117.7532819266666,6750.0
宁夏,1998,西部地区,245.45,95.11,101.59,4607.0,78.33,110.63,536.5666,8.03,1600.0,8.03,,0.11,29.29774538,816.9
广西,1998,西部地区,1911.3,667.29,657.31,4346.0,561.34,245.0,4675.0,146.8,1015.1,146.8,,,44.15249472000001,2417.68
新疆,1998,西部地区,1107.0,386.8,443.1,6174.0,298.5,158.3,1747.0,28.23,2926.91,28.23,,23.84,89.26810783333333,3280.0
甘肃省,1998,西部地区,887.67,373.43,311.48,3541.0,311.26,253.6,2519.37,93.91,2316.0,93.91,,0.28,66.72143696666669,2687.47
西藏,1998,西部地区,91.5,20.1,40.8,3666.0,9.1,6.22,252.0,4.96,1.55,4.96,,,,
贵州省,1998,西部地区,863.45,319.4,279.19,2377.0,273.82,291.77,3658.0,82.22,6600.0,82.22,166.67,0.81,105.1493027866667,4087.91
重庆市,1998,西部地区,1634.71,685.83,647.99,5692.0,581.69,158.67,3060.0,40.14,2573.99,40.14,,33.24,54.95386094,1819.1
陕西省,1998,西部地区,1471.22,607.82,596.48,4106.0,500.26,245.97,3596.0,31.2,2300.0,31.2,,4.32,77.7888296,2924.82
青海省,1998,西部地区,220.92,66.35,111.63,4425.0,43.31,100.9,503.0,67.25,322.7,67.25,,2.68,12.26369349333334,738.88
吉林省,1999,东北地区,1682.07,654.52,604.07,6382.0,552.34,299.6,2616.1,44.89,1628.0,44.89,,2.4,95.27273628,3693.2
辽宁省,1999,东北地区,4171.7,1994.7,1667.4,10086.0,1795.7,610.5,4171.0,25.5,4779.3,25.5,,14.3,248.57456186,8869.9
黑龙江,1999,东北地区,2553.0,1466.6,717.2,6749.0,1399.9,416.02,3792.0,9.23,6230.0,9.23,21.0,22.4,165.2093907,6390.0
上海市,1999,东部地区,4275.8,1990.09,2213.08,27600.0,1807.29,498.01,1474.0,,,,,,92.58833453999999,5066.29
北京市,1999,东部地区,2759.8,900.0,1781.5,22054.0,713.3,143.2,1257.0,8.74,800.0,8.74,,,60.63737166666666,3906.6
天津市,1999,东部地区,1448.43,717.92,659.37,15119.0,641.82,182.56,959.0,0.19,,0.19,,8.54,56.90042323999999,2553.07
山东省,1999,东部地区,7493.84,3644.32,2628.52,8483.0,3197.16,914.74,8883.0,0.06,8995.0,0.06,183.0,7.33,260.4147590666667,9068.0
广东省,1999,东部地区,9409.51,4384.22,4016.28,11611.0,3864.77,1104.4,7270.0,84.71,203.09,84.71,,37.51,157.7881557,8735.0
江苏省,1999,东部地区,7697.82,3920.15,2740.3,10695.0,3387.99,787.06,7213.13,0.04,2291.97,0.04,93.29,0.22,207.8518317866667,8164.0
河北省,1999,东部地区,4158.9,1875.1,1477.8,6310.0,1613.8,771.91,6613.66,2.42,5511.0,2.42,,4.17,251.7914337533333,9379.27
浙江省,1999,东部地区,5501.74,2983.27,1912.15,12320.0,2693.52,529.0,4467.46,81.24,100.0,81.24,,,120.8660557266666,5960.14
海南省,1999,东部地区,476.68,96.02,208.04,6294.0,63.37,38.97,762.0,8.2,2.0,8.2,,5.06,4.211550653333333,430.6
福建省,1999,东部地区,3447.29,1429.01,1411.21,10423.0,1230.22,357.45,3316.0,185.28,577.14,185.28,,,49.30908112666666,2771.64
安徽省,1999,中部地区,2907.8,977.5,1183.6,4819.0,781.6,316.37,6237.0,9.61,4522.0,9.61,,,114.7637680733333,4683.0
山西省,1999,中部地区,1667.1,785.47,721.67,5230.0,684.55,569.9,3204.0,11.39,24900.0,11.39,,1.09,142.1487063733333,5573.2
江西省,1999,中部地区,1853.65,648.82,740.43,4402.0,503.79,187.8,4231.1742,53.08,1731.0,53.08,,,47.76707438666666,2123.3
河南省,1999,中部地区,4554.57,1970.98,1495.89,4871.0,1729.3,658.97,9387.0,15.83,8012.0,15.83,,14.08,139.6122635,7380.0
湖北省,1999,中部地区,3229.29,1310.2,1265.1,5452.0,1139.52,508.0,5938.03,225.01,444.52,225.01,,0.92,123.4609353666666,5988.02
湖南省,1999,中部地区,3214.54,1192.99,1243.3,4933.0,1010.53,333.0,6532.0,165.38,1432.87,165.38,,,78.91991353333333,4087.0
云南省,1999,西部地区,1899.82,811.9,681.05,4558.0,686.09,298.2,4192.4,184.91,2700.0,184.91,,0.88,58.02360222,3287.97
内蒙古,1999,西部地区,1379.31,510.47,525.93,5861.0,425.13,380.61,2361.9,1.65,7071.0,1.65,,,103.3479614266667,3634.88
四川省,1999,西部地区,3649.12,1349.63,1373.46,4540.0,1114.5,492.16,8550.0,260.4,2100.0,260.4,,82.15,99.92114304666664,6370.0
宁夏,1999,西部地区,264.58,103.83,112.67,4900.0,83.51,112.3,543.2891,9.82,1531.3,9.82,,0.12,28.45263441333333,823.1
广西,1999,西部地区,1971.41,682.34,721.35,4444.0,570.76,253.42,4713.0,153.95,794.0,153.95,,,44.8202118,2472.73
新疆,1999,西部地区,1163.2,411.0,496.5,6443.0,315.9,169.31,1774.0,30.06,2800.0,30.06,,31.06,86.70089176666667,3215.02
甘肃省,1999,西部地区,956.32,410.07,354.42,3778.0,326.99,262.42,2542.58,117.47,1900.0,117.47,,0.11,66.66561961333333,2917.3
西藏,1999,西部地区,106.0,23.9,48.8,4180.0,9.5,6.33,256.0,5.22,2.0,5.22,,,,
贵州省,1999,西部地区,944.66,350.41,326.68,2564.0,294.42,334.46,3710.0,133.54,4025.1,133.54,149.45,0.74,62.41223784,3854.4
重庆市,1999,西部地区,1702.66,709.74,706.76,5942.0,597.94,158.27,3075.0,32.29,1183.22,32.29,,34.74,60.26875226666666,1955.53
陕西省,1999,西部地区,1607.93,681.43,671.93,4458.0,549.01,255.1,3618.0,19.68,2432.0,19.68,,12.57,73.7080377,2584.2
青海省,1999,西部地区,239.38,71.3,126.05,4728.0,45.9,114.36,510.0,87.48,247.2,87.48,,3.47,14.4396508,938.68
吉林省,2000,东北地区,1951.51,768.89,783.89,7351.0,655.68,313.5,2681.7,47.84,1636.71,47.84,28.6,2.05,95.97168036,3527.7
辽宁省,2000,东北地区,4669.1,2336.1,1841.2,11177.0,2114.9,645.6,4184.0,14.9,4454.9,14.9,93.25,14.7,290.37292582,9877.2
黑龙江,2000,东北地区,2881.9,1633.4,872.9,7585.0,1566.4,427.0,3807.0,13.19,5000.0,13.19,22.2,23.04,172.1171957133333,6166.0
上海市,2000,东部地区,4879.97,2215.75,2589.46,30700.0,2022.53,553.0,1609.0,,,,46.5,2.6,100.6576402066667,5413.45
北京市,2000,东部地区,3277.8,1023.7,2174.9,25014.0,831.0,145.0,1364.0,8.64,690.0,8.64,22.4,0.0,63.4719169,4144.0
天津市,2000,东部地区,1608.37,794.75,739.93,16412.0,716.71,211.0,1001.0,0.14,,0.14,33.0,9.1,66.94701199333333,2794.0
山东省,2000,东部地区,8278.06,4120.19,2905.79,9260.0,3620.06,1005.0,8998.0,0.03,8039.0,0.03,180.0,6.88,261.4171916333334,11362.0
广东省,2000,东部地区,10958.37,5042.75,4929.3,12993.0,4518.65,1292.69,8650.0,106.11,161.71,106.11,90.5,34.6,182.1402045,9447.7
江苏省,2000,东部地区,8553.69,4435.89,3069.46,11765.0,3848.52,909.69,7327.24,0.13,2479.02,0.13,89.05,0.24,216.2595125866667,8612.43
河北省,2000,东部地区,4628.2,2146.7,1656.8,6966.0,1868.4,844.0,6674.27,4.7,5781.0,4.7,132.1,5.14,257.9286551066667,11195.71
浙江省,2000,东部地区,6218.94,3287.1,2300.87,13585.0,2964.69,625.0,4501.22,65.23,73.0,65.23,59.28,0.04,100.1636042266667,6560.37
海南省,2000,东部地区,526.82,103.97,230.85,6798.0,70.46,39.0,789.0,11.54,2.0,11.54,2.0,0.0,4.7899212,479.95
福建省,2000,东部地区,3804.63,1622.33,1565.93,11313.0,1422.34,404.0,3410.0,195.22,375.03,195.22,22.5,0.0,53.99741417333333,2942.6
安徽省,2000,中部地区,3125.33,1062.23,1321.33,5147.0,841.48,355.0,6093.0,4.58,4790.0,4.58,57.1,0.0,122.49529432,4878.82
山西省,2000,中部地区,1845.72,858.4,807.5,5722.0,748.65,624.7,3247.0,13.04,25152.0,13.04,120.2,1.14,87.94315706666667,6728.0
江西省,2000,中部地区,2003.07,700.76,817.17,4851.0,543.88,226.77,4148.5447,53.5,1813.76,53.5,32.3,0.0,51.51121690666667,2505.0
河南省,2000,中部地区,5097.26,2282.48,1689.85,5401.0,2000.0,694.93,9488.0,15.52,7578.0,15.52,87.7,14.95,140.5305933,7919.0
湖北省,2000,中部地区,3545.39,1437.38,1450.34,6293.0,1243.24,538.11,5646.0,281.4,389.34,281.4,56.0,0.91,127.8611156533333,6269.0
湖南省,2000,中部地区,3551.49,1293.18,1473.39,5590.0,1094.76,354.0,6562.0,191.15,1490.81,191.15,77.3,0.0,75.79219485333334,4071.0
云南省,2000,西部地区,2030.08,836.15,751.64,4814.0,707.0,317.46,4240.8,196.53,2215.61,196.53,38.59,0.05,53.53048516666667,3468.33
内蒙古,2000,西部地区,1539.12,582.6,605.74,6502.0,484.19,439.22,2372.4,5.59,7000.0,5.59,66.4,4.55,110.8669700866667,3937.5
四川省,2000,西部地区,3928.2,1433.11,1549.51,4956.0,1170.63,500.0,8329.0,315.11,2100.0,315.11,122.3,88.6,104.0361479533333,6518.0
宁夏,2000,西部地区,295.02,121.43,127.56,5376.0,96.7,136.61,554.3214,8.18,1581.0,8.18,20.6,0.15,0.8144065000000001,1518.6
广西,2000,西部地区,2080.04,732.76,789.9,4652.0,612.33,289.0,4751.0,168.87,706.67,168.87,83.0,0.0,47.47575506666666,2487.4
新疆,2000,西部地区,1363.6,525.0,564.2,7372.0,418.6,182.0,1849.0,30.83,2745.8,30.83,31.1,35.38,89.32772873333334,3328.0
甘肃省,2000,西部地区,1052.88,421.65,437.13,4163.0,327.6,254.0,2515.31,102.54,1632.71,102.54,36.9,0.2,70.7381526,3011.62
西藏,2000,西部地区,117.8,27.1,55.3,4572.0,10.2,7.0,258.0,5.54,2.13,5.54,0.08,0.0,,
贵州省,2000,西部地区,1040.4,391.2,378.21,2787.0,328.73,404.7,3756.0,183.44,3700.0,183.44,145.01,0.7,61.25344108,4278.6
重庆市,2000,西部地区,1841.43,774.63,786.35,6451.0,644.04,167.9,2848.82,38.22,1149.9,38.22,83.9,38.98,60.59587934666666,2069.17
陕西省,2000,西部地区,1823.34,782.58,782.54,5022.0,629.88,272.28,3644.0,34.8,3493.0,34.8,62.3,21.1,68.53855937333333,2731.0
青海省,2000,西部地区,263.68,80.9,142.66,5138.0,50.87,134.0,516.5,107.69,145.0,107.69,3.2,3.91,12.55301592666667,897.23
吉林省,2001,东北地区,2120.35,852.51,858.74,7893.0,724.73,329.57,2637.1,58.13,1632.1,58.13,26.5,2.05,102.5068024333333,3712.7
辽宁省,2001,东北地区,5033.1,2431.5,2070.9,12015.0,2190.1,662.1,4194.0,22.7,4468.2,22.7,83.94,14.7,272.4570619666666,10356.9
黑龙江,2001,东北地区,3074.1,1665.9,981.7,8071.0,1592.0,447.4,3811.0,13.93,5121.0,13.93,21.9,22.03,163.0235368266666,5830.8
上海市,2001,东部地区,5348.07,2413.83,2858.19,32600.0,2194.09,572.86,1668.0,,,,47.3,3.3,105.8642395733333,5825.8
北京市,2001,东部地区,2817.57,1063.72,1660.85,28097.0,920.2,133.28,1385.0,2.75,831.9,2.75,20.1,,61.7608881,4229.2
天津市,2001,东部地区,1778.3,858.76,840.81,17739.0,768.58,217.43,1004.0,0.09,,0.09,26.8,8.95,66.70229714000001,2918.04
山东省,2001,东部地区,9076.22,4466.74,3269.02,10063.0,3911.03,1069.05,9041.0,0.01,10897.3,0.01,172.0,8.5,303.3498510666667,13778.54
广东省,2001,东部地区,12319.24,5564.66,5765.74,14174.0,5012.16,1351.74,8733.0,190.73,123.56,190.73,97.3,32.87,185.4605602533333,10179.0
江苏省,2001,东部地区,9456.84,4907.46,3454.9,12879.0,4270.9,986.64,7358.52,0.57,2451.14,0.57,114.81,0.23,217.3128372133333,8881.41
河北省,2001,东部地区,5062.9,2293.5,1855.4,7572.0,2011.2,925.0,6699.13,3.62,5900.0,3.62,128.9,5.21,266.51544518,12114.29
浙江省,2001,东部地区,7003.4,3590.07,2753.55,14887.0,3205.39,713.49,4519.84,105.73,73.6,105.73,59.19,0.05,147.83491268,7253.11
海南省,2001,东部地区,579.18,133.84,248.56,7315.0,97.86,44.86,796.0,16.18,1.95,16.18,2.0,,4.929755173333334,520.44
福建省,2001,东部地区,4120.92,1796.68,1700.09,12023.0,1586.48,446.39,3445.0,234.36,512.33,234.36,20.0,,53.64526728666667,3163.09
安徽省,2001,中部地区,3290.11,1415.24,1120.71,5732.0,1007.3,413.92,6128.0,8.41,5524.98,8.41,39.6,,128.9588996533333,5215.08
山西省,2001,中部地区,2029.53,956.01,902.43,6226.0,832.45,711.0,3272.0,16.8,27660.0,16.8,119.9,1.58,93.38229715999995,6967.0
江西省,2001,中部地区,2175.68,786.12,883.56,5221.0,603.23,216.95,4185.7676,54.73,1634.05,54.73,30.6,,52.70291502666666,2628.0
河南省,2001,中部地区,5586.59,2497.71,1893.49,5867.0,2182.8,791.05,9555.0,36.13,8448.0,36.13,89.7,17.36,156.3177719333333,8367.0
湖北省,2001,中部地区,3880.53,1569.33,1619.03,6866.0,1360.1,598.0,5658.0,275.12,333.9,275.12,54.0,0.76,126.836997,6204.81
湖南省,2001,中部地区,3831.9,1412.82,1593.35,6120.0,1180.43,384.35,6596.0,213.39,1546.11,213.39,76.2,,82.07536540666668,4622.0
云南省,2001,西部地区,2159.0,871.39,843.19,5063.0,734.52,359.53,4287.4,216.48,2426.5,216.48,35.75,0.09,58.59139278666667,3741.03
内蒙古,2001,西部地区,1713.81,655.68,699.24,7210.0,541.02,465.5,2381.4,6.2,8163.0,6.2,64.6,7.01,117.6081867866667,4453.48
四川省,2001,西部地区,4293.49,1572.01,1739.81,5376.0,1270.86,583.55,8143.0,428.38,4397.4,428.38,113.5,94.5,105.7526979066667,6810.0
宁夏,2001,西部地区,337.44,135.88,151.89,6039.0,106.82,150.3,563.2211,8.44,1635.7,8.44,20.0,0.08,0.9261131400000001,1578.8
广西,2001,西部地区,2279.34,771.18,931.82,5058.0,639.55,297.19,4788.0,176.09,613.52,176.09,69.7,,44.95121516666666,2700.97
新疆,2001,西部地区,1483.47,638.76,557.35,7945.0,445.6,197.61,1876.0,34.1,1458.2,34.1,30.0,41.24,93.65134493333333,3496.44
甘肃省,2001,西部地区,1125.37,458.07,459.35,4467.0,355.51,302.55,2523.35,110.3,1819.1,110.3,37.0,0.37,73.17171713333332,3068.4
西藏,2001,西部地区,139.2,32.0,70.7,5318.0,10.9,6.97,264.0,5.9,2.53,5.9,0.1,,,
贵州省,2001,西部地区,1147.07,433.52,439.38,3037.0,360.73,480.25,3799.0,221.96,3731.4,221.96,138.12,0.68,55.56257236666666,4438.0
重庆市,2001,西部地区,2038.9,859.92,888.88,7182.0,707.59,170.41,2829.0,40.7,1154.67,40.7,72.2,41.88,56.44832753333333,2208.95
陕西省,2001,西部地区,2034.14,878.82,891.69,5575.0,706.62,303.47,3653.0,27.03,4531.87,27.03,61.9,34.4,70.41435842666667,3034.34
青海省,2001,西部地区,300.13,96.09,159.3,5774.0,58.02,137.8,523.1,95.2,169.0,95.2,3.5,5.9,15.40518478,939.33
吉林省,2002,东北地区,2348.54,943.49,958.88,8714.0,803.53,295.7,2649.4,44.57,1700.0,44.57,26.5,2.41,105.2105494666667,4209.0
辽宁省,2002,东北地区,5458.2,2599.7,2284.4,13000.0,2332.0,725.3,4203.0,14.5,5180.8,14.5,79.3,13.3,294.1117923666666,10333.5
黑龙江,2002,东北地区,3278.2,1728.3,1085.7,8600.0,1650.8,466.25,3813.0,15.09,5900.0,15.09,28.7,20.22,164.12600346,6204.2
上海市,2002,东部地区,5908.12,2635.28,3195.15,34900.0,2399.07,608.92,1713.0,,,,44.7,4.33,109.24907384,6114.47
北京市,2002,东部地区,4525.7,1235.1,3208.2,32231.0,999.6,142.0,1423.0,4.1,881.0,4.1,19.2,0.0,64.27314,4436.1
天津市,2002,东部地区,1952.34,931.46,936.67,19417.0,830.45,268.83,1007.0,0.12,,0.12,23.5,8.88,68.83112333333334,3022.15
山东省,2002,东部地区,10076.52,5037.63,3669.74,11120.0,4364.37,1250.04,9082.0,0.01,13100.0,0.01,169.0,7.5,345.8832843066667,16149.7
广东省,2002,东部地区,13848.63,6209.06,6624.49,15759.0,5628.7,1525.53,8842.0,108.62,168.71,108.62,97.4,31.55,198.4878332666667,11355.0
