Province,Year,Year imputed,Region imputed,Regional GDP imputed,Secondary industry value added imputed,Tertiary industry value added from Long imputed,Industrial value added from Long imputed,Total electricity generation imputed,Population imputed,Hydropower generation from Long imputed,Raw coal production from Long imputed,Non fossil electricity generation imputed,SO2 emissions imputed,Natural gas production from Long imputed,Total apparent CO2 emissions (mt) imputed
广西,1992,False,False,False,False,False,False,False,False,False,False,False,False,True,True
新疆,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
甘肃省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
西藏,1992,False,False,False,False,False,False,False,False,False,False,False,True,True,True
贵州省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
重庆市,1992,False,False,False,False,False,False,False,False,False,False,False,True,False,True
陕西省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
青海省,1992,False,False,False,False,False,False,False,False,False,False,False,False,False,True
吉林省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
辽宁省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
黑龙江,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
上海市,1993,False,False,False,False,False,False,False,False,True,False,True,False,True,True
北京市,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
天津市,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
山东省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广东省,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
江苏省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
河北省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
浙江省,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
海南省,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
福建省,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
安徽省,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
山西省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
江西省,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
河南省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖北省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
湖南省,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
云南省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
内蒙古,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
四川省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
宁夏,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
广西,1993,False,False,False,False,False,False,False,False,False,False,False,False,True,True
新疆,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
甘肃省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
西藏,1993,False,False,False,False,False,False,False,False,False,False,False,True,True,True
贵州省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
重庆市,1993,False,False,False,False,False,False,False,False,True,False,True,True,False,True
陕西省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
青海省,1993,False,False,False,False,False,False,False,False,False,False,False,False,False,True
吉林省,1994,False,False,False,False,False,False,False,False,False,False,False,True,False,True
辽宁省,1994,False,False,False,False,False,False,False,False,False,False,False,True,False,True
黑龙江,1994,False,False,False,False,False,False,False,False,False,False,False,False,False,True
上海市,1994,False,False,False,False,False,False,False,False,True,False,True,True,True,True
北京市,1994,False,False,False,False,False,False,False,False,False,False,False,True,True,True
天津市,1994,False,False,False,False,False,False,False,False,False,False,False,True,False,True
